rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País,año
90,Young Cister,Casi Amor De Verano,5,28,377153,Chile,2022
95,"Ak4:20, Brray",MARIMBA GRINGA,42,11,356008,Chile,2022
98,"JOSEPE EL DEMENTE, Sayian Jimmy",Morena Cachetona,7,27,329621,Chile,2022
105,"Standly, Jon Z",Tarzan de la Selva,65,4,310245,Chile,2022
111,Nickoog Clk,Por Ella,111,1,304445,Chile,2022
118,"Harry Nach, Ovyze",LA DEL SAXO,118,1,284658,Chile,2022
119,"El Jordan 23, Marcianeke, Pailita",Xipetiao,106,29,281259,Chile,2022
120,Marcianeke,Ponte Pa Mí,76,7,273090,Chile,2022
121,"El Jordan 23, Cris Mj",Ta' Soltera,69,30,272061,Chile,2022
125,"Young Cister, Duki",DOLCE,32,19,266231,Chile,2022
128,"Kail BRL, Standly, Benji La Maldita Escritura De Oro, Tobal Mj",Activo (feat. Tobal Mj),115,7,264986,Chile,2022
129,"Gino Mella, Jairo Vera, Big Cvyu",PALOMA,97,8,264302,Chile,2022
142,"Nickoog Clk, Dainesitta",ESE CULITO,45,14,237966,Chile,2022
143,"Ceaese, Utopiko, Polimá Westcoast, Young Cister",Te Quiero Ver (feat. Polimá Westcoast y Young Cister),33,125,237480,Chile,2022
151,"Pailita, Marcianeke",Dimelo Ma,2,61,222551,Chile,2022
152,"Polimá Westcoast, Pablo Chill-E, Harry Nach, Galee Galee, ITHAN NY",MONEYMAN (feat. Galee Galee & ITHAN NY),9,31,220755,Chile,2022
178,King Savagge,Pantano,76,20,206326,Chile,2022
185,"Julianno Sosa, Standly",Vente Al Party,185,1,199874,Chile,2022
186,"Julianno Sosa, Pablo Chill-E",Positivo,81,11,198615,Chile,2022
191,"Polimá Westcoast, Pablo Chill-E, ARON",Cu4tro,4,44,194363,Chile,2022
16,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,14,3,580321,Colombia,2022
24,Cris Mj,Una Noche en Medellín,9,20,517227,Colombia,2022
113,"Polimá Westcoast, Pailita",ULTRA SOLO,50,11,160826,Colombia,2022
131,"Julianno Sosa, King Savagge",Cochinae,102,8,142384,Colombia,2022
15,"Polimá Westcoast, Pailita",ULTRA SOLO,11,10,1882815,España,2022
25,Cris Mj,Una Noche en Medellín,2,20,1562193,España,2022
63,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,53,3,827117,España,2022
130,"Julianno Sosa, King Savagge",Cochinae,114,6,443850,España,2022
37,Cris Mj,Una Noche en Medellín,9,19,12233289,Global,2022
53,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,44,3,10240753,Global,2022
85,"Polimá Westcoast, Pailita",ULTRA SOLO,42,11,8002979,Global,2022
24,Cris Mj,Una Noche en Medellín,8,20,180304,Guatemala,2022
28,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,28,3,168712,Guatemala,2022
47,"Polimá Westcoast, Pailita",ULTRA SOLO,28,11,116513,Guatemala,2022
163,"Julianno Sosa, King Savagge",Cochinae,143,7,49632,Guatemala,2022
37,Cris Mj,Una Noche en Medellín,12,20,51322,Honduras,2022
40,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,37,3,49045,Honduras,2022
82,"Polimá Westcoast, Pailita",ULTRA SOLO,40,10,24149,Honduras,2022
21,Cris Mj,Una Noche en Medellín,3,20,3195933,México,2022
45,"Polimá Westcoast, Pailita",ULTRA SOLO,22,11,2040204,México,2022
46,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,46,3,2014467,México,2022
14,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,14,3,590051,Perú,2022
15,Cris Mj,Una Noche en Medellín,3,20,583972,Perú,2022
36,"Polimá Westcoast, Pailita",ULTRA SOLO,15,11,371526,Perú,2022
62,"Julianno Sosa, King Savagge",Cochinae,59,9,240492,Perú,2022
108,Standly,Pégate,54,18,148065,Perú,2022
182,"El Jordan 23, Standly",Bailando,64,13,104339,Perú,2022
