Unnamed: 0,rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,archivo
99,100,"Bad Bunny, Buscabulla",Andrea,63,9,390604,Argentina_2022_limpio.csv
100,101,Manuel Turizo,La Bachata,101,4,389273,Argentina_2022_limpio.csv
101,102,Rauw Alejandro,Todo De Ti,1,59,388477,Argentina_2022_limpio.csv
102,103,"Tiago PZK, LIT killah",Entre Nosotros,1,52,386937,Argentina_2022_limpio.csv
103,104,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,50,45,386441,Argentina_2022_limpio.csv
104,105,C. Tangana,Demasiadas Mujeres,31,21,371722,Argentina_2022_limpio.csv
105,106,RYH,MDQ,75,10,369995,Argentina_2022_limpio.csv
106,107,"J Balvin, Maria Becerra",Qué Más Pues?,2,58,367362,Argentina_2022_limpio.csv
107,108,Salastkbron,TURROMANTIKO,28,23,365047,Argentina_2022_limpio.csv
108,109,"Blessd, Justin Quiles, Lenny Tavárez",Medallo,19,36,363678,Argentina_2022_limpio.csv
109,110,Bad Bunny,Un Coco,56,9,358381,Argentina_2022_limpio.csv
110,111,Sebastian Yatra,Tacones Rojos,21,37,355730,Argentina_2022_limpio.csv
111,112,Lasso,Ojos Marrones,112,1,351578,Argentina_2022_limpio.csv
112,113,"Rusherking, Maria Becerra",Antes de Ti,1,39,350835,Argentina_2022_limpio.csv
113,114,"Callejero Fino, L-Gante, ECKO, Kaleb Di Masi, Fili Wey, Homer El Mero Mero, John C, Papichamp",Pa Tra Rkt - Remix,31,15,349866,Argentina_2022_limpio.csv
114,115,"FMK, Tiago PZK, Mau y Ricky",Prende la Cámara RMX,47,34,343447,Argentina_2022_limpio.csv
115,116,Standly,Pégate,77,16,341485,Argentina_2022_limpio.csv
116,117,"Ak4:20, Pailita, Cris Mj",Me Arrepentí,117,1,339782,Argentina_2022_limpio.csv
117,118,"DJ Tao, EL NOBA, DT.Bilardo",EL NOBA | DJ TAO Turreo Sessions #7,67,12,339451,Argentina_2022_limpio.csv
118,119,"TINI, Morat",Consejo de Amor (feat. Morat),57,100,337500,Argentina_2022_limpio.csv
119,120,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,26,54,336720,Argentina_2022_limpio.csv
120,121,Bad Bunny,Un Verano Sin Ti,45,9,335653,Argentina_2022_limpio.csv
121,122,NATHY PELUSO,VIVIR ASÍ ES MORIR DE AMOR,24,30,331950,Argentina_2022_limpio.csv
122,123,Natalie Perez,Detox,66,43,330320,Argentina_2022_limpio.csv
123,124,"Sael, Emilia",Q-Lito,124,1,328932,Argentina_2022_limpio.csv
124,125,"Alejo Isakk, Omar Varela",Diablona,95,9,328853,Argentina_2022_limpio.csv
