rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
17,"spotify:track:4w47S36wQGBhGg073q3nt7","ROSALÍA, Travis Scott","TKN (feat. Travis Scott)","Columbia",1,14,5,"1397083"
18,"spotify:track:0jT8Nl0shPS8115is0wD2Q","Camilo","Favorito","Sony Music Latin",4,19,14,"1396321"
19,"spotify:track:2EAwcFW9NeuhnZ0q5aYhFL","Nyno Vargas, Omar Montes","Hola, Nena (feat. Omar Montes)","WM Spain",8,16,10,"1377360"
20,"spotify:track:6yVkakCN460KOVol9ZazjH","Anuel AA","Reggaetonera","2020 Real Hasta La Muerte, LLC",20,27,5,"1366629"
21,"spotify:track:7mcdgAXmb35dakBnfDIv3q","Anuel AA","Narcos","2020 Real Hasta La Muerte, LLC",16,18,5,"1356737"
22,"spotify:track:49QwoSLuV69Fd8bwTqdZvs","Lola Indigo, Rauw Alejandro, Lalo Ebratt","4 besos","Universal Music Spain S.L.",8,23,14,"1332558"
23,"spotify:track:7k4t7uLgtOxPwTpFmtJNTY","KAROL G, Nicki Minaj","Tusa","TUSA - Karol G & Nicki Minaj",1,20,34,"1332096"
24,"spotify:track:4TOmcZvw0gHa7GiXRbcYAW","Feid, Justin Quiles","PORFA","JP Entertainment (Jorge Pino)",6,15,27,"1254475"
25,"spotify:track:6f4LYJwICqxoAILj82kwB0","C. Tangana","Nunca Estoy","Sony Music Entertainment",1,17,10,"1252285"
26,"spotify:track:6zEgnpM0qYmHLDnh8WPejL","J Balvin","Amarillo","UMLE - Latino",1,24,15,"1221495"
27,"spotify:track:3VPOZWtj8mM89IiRNygxgS","Fred De Palma, Ana Mena","Se iluminaba","WM Italy",6,31,36,"1203025"
28,"spotify:track:2WlmR4N8xSxDG3Adz8Wd2k","Kiko el Crazy","La Popi","RIMAS Entertainment LLC",28,28,4,"1193108"
29,"spotify:track:2hDe0Ls5mVqs1XJqv7sbcM","Anuel AA, Enrique Iglesias","Fútbol & Rumba (feat. Enrique Iglesias)","2020 Real Hasta La Muerte, LLC",7,25,5,"1171459"
30,"spotify:track:46V4kseB66GjFGklCgynGX","Casper Magico, Anuel AA","Sola & Vacía","2020 Flow La Movie, Inc. & Los Magicos, LLC | Powered by GLAD Empire,",4,22,11,"1151044"
31,"spotify:track:2DEZmgHKAvm41k4J3R2E9Y","Bad Bunny, Jowell & Randy, Ñengo Flow","Safaera","Rimas Entertainment LLC",1,29,18,"1130196"
32,"spotify:track:7lUdbnz7wsv3C9zzf4WHl9","Feid, J Balvin, Maluma, Nicky Jam, Sech, Justin Quiles","PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix","JP Entertainment (Jorge Pino)",32,-1,1,"1129916"
33,"spotify:track:6Hw21Z5CmEV78jrncFpMwz","Harry Nach","Tak Tiki Tak","Sony Music Entertainment Chile S.A",25,32,10,"1109957"
34,"spotify:track:50ZC4PM7hywH27RcCfViau","Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow","Elegí","Sony Music Latin",24,33,14,"1108526"
35,"spotify:track:4SJHHpKhcuXwDsCsPqshXj","Rauw Alejandro, Chencho Corleone","El Efecto","Duars Entertainment, Corp.",27,34,37,"1076071"
36,"spotify:track:5XqCz18k96K8tx6DAYM97i","Bad Bunny, Don Omar","PA' ROMPERLA","Rimas Entertainment LLC",1,30,8,"1061206"
37,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",23,38,31,"1033999"
38,"spotify:track:2maGaB3fNqQnyrG3FDiaW3","El Completo Rd, Chimbala, Cotorra Music Grup","Una Mala - Remix","Rightsy",10,36,19,"1026608"
39,"spotify:track:5bmSver2b3ZXyuyLKtgnFI","Bad Bunny, Nicky Jam","BAD CON NICKY","Rimas Entertainment LLC",11,37,8,"1017808"
40,"spotify:track:0SqqAgdovOE24BzxIClpjw","Bad Bunny","Yo Perreo Sola","Rimas Entertainment LLC",3,35,18,"992675"
41,"spotify:track:7MCFjPDImfjQv7GynHgVrR","Nicki Nicole","Colocao","Sony Music Latin/DALE PLAY Records",41,51,7,"937390"
42,"spotify:track:380HmhwTE2NJgawn1NwkXi","J Balvin","Rojo","UMLE - Latino",2,39,18,"928374"
43,"spotify:track:17VsiwLi1ovKYdVUqDieGC","Rvfv, Omar Montes, Daviles de Novelda","Prendio (Remix)","NASTU MUSIC",12,44,28,"856351"
44,"spotify:track:7na7Bk98usp84FaOJFPv3d","Rauw Alejandro","Tattoo","(SME US Latin) Duars Entertainment, Corp. (2)",2,42,20,"843490"
45,"spotify:track:10u2iOS0r6plfb9GknD7g4","Rauw Alejandro, Myke Towers, Sky Rompiendo","Ponte Pa' Mi","(SME US Latin) Duars Entertainment, Corp. (2)",43,48,11,"824542"
46,"spotify:track:35qwAQ3oZeKAMhR3hCV9IM","David Bisbal, Aitana","Si Tú La Quieres","Universal Music Spain S.L.",22,47,13,"821260"
47,"spotify:track:5EbtodsuLbxrFDH6j5avVS","Camilo, Pablo Alborán","El Mismo Aire - con Pablo Alborán","Sony Music Latin",45,45,3,"812851"
48,"spotify:track:2J9B63FawlTaPdg4eH5X03","Beéle","Loco","Hear This Music",14,43,32,"806559"
49,"spotify:track:24Yi9hE78yPEbZ4kxyoXAI","SAINt JHN, Imanbek","Roses - Imanbek Remix","Columbia/B1 Recordings",29,49,17,"801892"
50,"spotify:track:07Lxxln9lZ8m0hT6EySTCe","Yago Roche","Atrévete","The Was Music Group",28,46,18,"795245"
51,"spotify:track:5mBWQ675Eb4j4fn6iuNnOe","Robledo, Alex Martini","Dime Bbsita","Zamara Music S.L.",2,40,13,"787383"
52,"spotify:track:24IgCW19L8lXKyFZwzFtD3","Black Eyed Peas, Ozuna, J. Rey Soul","MAMACITA","Epic",52,52,12,"723119"
53,"spotify:track:2tGENA8xef0wABdHvyXwv9","Lunay, Ozuna, Myke Towers, Chencho Corleone, Rauw Alejandro","La Cama (Remix)","round2media - LaFamilia",14,53,14,"705013"
54,"spotify:track:0KkIkfsLEJbrcIhYsCL7L5","Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin","China","2020 Real Hasta La Muerte, LLC",1,55,50,"679447"
55,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",3,56,43,"658161"
56,"spotify:track:4punHldq7Jfx0Plu7SdjQ0","Lérica, Omar Montes, Abraham Mateo","Pegamos Tela","Universal Music Spain S.L.",16,58,24,"657258"
57,"spotify:track:39JlamO6oYz8nRIYCfq8Bl","Arce, Omar Montes","Tinder","BMG Rights Management and Administration (Spain) S.L.U",53,57,3,"638110"
58,"spotify:track:6RyuoOJXNzlVWpfC5xQyeI","Omar Montes, Bad Gyal","Alocao (With Bad Gyal)","Bad Gyal Aftercluv/Interscope",1,60,36,"629648"
59,"spotify:track:40tFJtuES1da2fg0OurUdI","Jarabe De Palo","Eso Que Tú Me Das","Tronco Records SL",45,54,4,"626600"
60,"spotify:track:5379uuUPHodsdVhy8pIAAr","Cali Y El Dandee, Sebastian Yatra","Locura","Cali y El Dandee PS",47,61,8,"616524"
61,"spotify:track:2lCkncy6bIB0LTMT7kvrD1","J Balvin","Azul","UMLE - Latino",10,70,15,"605429"
62,"spotify:track:4EJHKSnHENfjOxXWryyNtL","Bad Bunny, Zion & Lennox","MÁS DE UNA CITA","Rimas Entertainment LLC",3,50,8,"602362"
63,"spotify:track:4QfZYDhGZc0T2RDvGiI69E","El Alfa, Chael Produciendo","Singapur","EL JEFE RECORDS LLC",63,108,3,"594859"
64,"spotify:track:3DyiAk1BzIF8rq9rimypG4","Anuel AA, Cardi B, Black Jonas Point, Secreto ""El Famoso Biberon"", Liro Shaq","La Bebe - Remix","2020 GLAD Empire, LLC & Flow La Movie, Inc.",57,64,7,"586823"
