rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
53,"Bad Bunny, Tainy",Callaita,1,57,1047856,Mexico
54,"Banda MS de Sergio Lizárraga, Snoop Dogg",Qué Maldición,1,9,1036304,Mexico
55,BLACKPINK,How You Like That,55,1,1026973,Mexico
56,"Jhayco, Bad Bunny",CÓMO SE SIENTE - Remix,26,8,1007698,Mexico
57,"Yandel, Bad Bunny",CANCIÓN CON YANDEL,12,8,1003994,Mexico
58,Natanael Cano,Arriba,23,9,988463,Mexico
59,Danna Paola,Sodio,13,21,967119,Mexico
60,"Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),1,38,964194,Mexico
61,"Reik, Farruko, Camilo",Si Me Dices Que Sí,49,19,956241,Mexico
62,Bad Bunny,BYE ME FUI,7,8,955566,Mexico
63,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",China,1,50,951701,Mexico
64,Christian Nodal,De Los Besos Que Te Di,18,64,949536,Mexico
65,"BENEE, Gus Dapperton",Supalonely,46,15,929616,Mexico
66,J Balvin,Blanco,15,33,909920,Mexico
67,Drake,Toosie Slide,59,13,901877,Mexico
68,Danna Paola,Oye Pablo,6,44,901718,Mexico
69,Bad Bunny,Si Estuviésemos Juntos,65,59,893706,Mexico
70,Christian Nodal,No Te Contaron Mal,9,95,892780,Mexico
71,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto - Remix,64,12,876151,Mexico
72,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,72,6,873546,Mexico
73,Natanael Cano,Amor Tumbado,30,24,865928,Mexico
74,"Arcángel, Sech, Romeo Santos",Sigues Con El - Remix,41,12,864717,Mexico
75,"Camilo, Pedro Capó",Tutu,2,47,861787,Mexico
76,Regard,Ride It,19,37,858557,Mexico
77,"Camilo, Evaluna Montaner",Por Primera Vez,28,16,857867,Mexico
78,Luis Miguel,Ahora Te Puedes Marchar,21,184,852200,Mexico
79,Harry Styles,Watermelon Sugar,52,17,851457,Mexico
80,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",Quizas,17,41,847543,Mexico
81,"Los Ángeles Azules, Belinda, Lalo Ebratt, Horacio Palencia",Amor a Primera Vista,13,55,827192,Mexico
82,"ROSALÍA, Travis Scott",TKN (feat. Travis Scott),38,5,819375,Mexico
83,El Fantasma,Palabra de Hombre,68,17,814031,Mexico
84,"Grupo Firme, Marca MP",El Güero (Feat. Marca MP),47,28,814029,Mexico
85,"Rauw Alejandro, Anuel AA, NATTI NATASHA, Farruko, Lunay",Fantasias - Remix,50,17,806305,Mexico
86,"Justin Quiles, Daddy Yankee, El Alfa",PAM,86,7,803099,Mexico
87,Danna Paola,Mala Fama,28,66,802616,Mexico
88,Ed Maverick,Fuentes de Ortiz,21,77,793736,Mexico
89,Maluma,11 PM,3,59,782196,Mexico
90,Grupo Firme,El Roto - En Vivo,50,38,775820,Mexico
91,"Shawn Mendes, Camila Cabello",Señorita,5,54,765993,Mexico
92,The Weeknd,In Your Eyes,36,15,756730,Mexico
93,"Lunay, Daddy Yankee, Bad Bunny",Soltera (Remix),2,60,749777,Mexico
94,Danny Ocean,Me Rehúso,1,179,748233,Mexico
95,"Piso 21, Micro TDH",Te Vi,3,81,745721,Mexico
96,"Reik, Morat",La Bella y la Bestia,80,3,745606,Mexico
97,"Matisse, Guaynaa",Imposible Amor,60,19,744997,Mexico
