rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
130,"Rauw Alejandro, Anuel AA, NATTI NATASHA, Farruko, Lunay",Fantasias - Remix,59,17,76861,Colombia
131,"Sech, Darell",Otro Trago,1,63,76285,Colombia
132,"Shakira, Anuel AA",Me Gusta,12,25,76254,Colombia
133,"Mike Bahía, Ovy On The Drums",La Lá,16,60,75594,Colombia
134,"ROSALÍA, J Balvin, El Guincho",Con Altura,14,66,75312,Colombia
135,"Black Eyed Peas, Maluma",FEEL THE BEAT,132,2,75091,Colombia
136,"J Balvin, Zion & Lennox",No Es Justo,1,112,74806,Colombia
137,Anuel AA,Keii,10,21,74267,Colombia
138,Paulo Londra,Adan y Eva,2,87,74217,Colombia
139,"Ovy On The Drums, Beéle",Inolvidable,56,21,73882,Colombia
140,"Bad Bunny, Zion & Lennox",MÁS DE UNA CITA,10,8,73713,Colombia
141,Danny Ocean,Me Rehúso,1,184,73085,Colombia
142,"Fonseca, Silvestre Dangond",Cartagena,71,11,72787,Colombia
143,"Diomedes Diaz, Juancho Rois",Amarte Mas No Pude,101,20,72529,Colombia
144,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",Porno,94,33,72469,Colombia
145,Doja Cat,Say So,71,19,71976,Colombia
146,Billie Eilish,bad guy,28,66,71395,Colombia
147,"Reik, Morat",La Bella y la Bestia,66,3,71247,Colombia
148,Queen,Bohemian Rhapsody - Remastered 2011,14,164,70935,Colombia
149,"Mau y Ricky, Camilo",La Boca,8,61,70653,Colombia
150,"KAROL G, Anuel AA",Follow,31,13,70615,Colombia
151,Zion & Lennox,La player (Bandolera),2,119,70510,Colombia
152,Jarabe De Palo,La flaca,65,136,70262,Colombia
153,Lewis Capaldi,Someone You Loved,106,38,69986,Colombia
154,"J Balvin, Bad Bunny, Marciano Cantero",UN PESO,18,53,69711,Colombia
155,Fonseca,Te Mando Flores,92,184,69574,Colombia
156,Jessi Uribe,Dulce Pecado,45,125,69509,Colombia
157,Christian Nodal,No Te Contaron Mal,51,89,69423,Colombia
158,Paulo Londra,Tal Vez,5,65,69088,Colombia
159,"Mike Bahía, Greeicy",Esta Noche,13,83,68865,Colombia
160,Trevor Daniel,Falling,64,29,68804,Colombia
161,"ROSALÍA, Ozuna","Yo x Ti, Tu x Mi",8,46,68666,Colombia
162,"Micro TDH, Rels B, Lenny Tavárez, Justin Quiles",Dime Cuantas Veces (Remix) [feat. Justin Quiles],162,1,68152,Colombia
163,Rels B,A Mí,158,17,68092,Colombia
164,"Eladio Carrion, Zion & Lennox, Wisin & Yandel, Lunay",Mi Error - Remix,56,32,67606,Colombia
165,Ed Sheeran,Shape of You,2,182,67310,Colombia
166,Bad Bunny,Si Estuviésemos Juntos,68,32,66635,Colombia
167,"Maluma, J Balvin",Qué Pena,4,40,66469,Colombia
168,"Myke Towers, Maluma, Farruko",La Playa - Remix,35,26,66421,Colombia
169,Bacilos,Caraluna,94,184,66049,Colombia
170,Daddy Yankee,Que Tire Pa Lante,15,37,65898,Colombia
171,"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön",Cuaderno,6,60,65888,Colombia
172,"Lenny Tavárez, Justin Quiles",La Pared 360,86,21,65407,Colombia
173,"Zion & Lennox, J Balvin",Otra vez (feat. J Balvin),1,181,65250,Colombia
174,"ChiChi Peralta, Jandy Feliz",Procura,83,45,65232,Colombia
175,"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),175,1,65092,Colombia
176,Travis Scott,goosebumps,64,10,64814,Colombia
177,"Lunay, Anuel AA, Ozuna",Aventura,18,36,64701,Colombia
178,Christian Nodal,De Los Besos Que Te Di,57,39,64625,Colombia
179,Maluma,ADMV - Versión Urbana,146,6,64463,Colombia
180,"Bad Bunny, Yaviah",Bichiyal,21,18,64358,Colombia
181,Roddy Ricch,The Box,68,25,64212,Colombia
182,Harry Styles,Adore You,93,26,64208,Colombia
183,"Piso 21, Manuel Turizo",Déjala Que Vuelva (feat. Manuel Turizo),1,140,63892,Colombia
184,"Elder Dayán Díaz, Rolando Ochoa",Amantes,79,27,63461,Colombia
185,Christian Nodal,Se Me Olvidó,75,14,62767,Colombia
186,Los Enanitos Verdes,Lamento Boliviano,132,68,62379,Colombia
187,"Manuel Turizo, Anuel AA",Te Quemaste,17,45,61963,Colombia
188,"BENEE, Gus Dapperton",Supalonely,111,14,61950,Colombia
189,"Nicky Jam, Anuel AA",Whine Up,16,36,61924,Colombia
190,"Anuel AA, Enrique Iglesias",Fútbol & Rumba (feat. Enrique Iglesias),48,5,61648,Colombia
191,Imagine Dragons,Believer,60,175,61471,Colombia
192,Manuel Medrano,Bajo El Agua,42,184,60776,Colombia
193,Dimension Latina,Llorarás,120,11,60542,Colombia
194,The Weeknd,In Your Eyes,61,12,60484,Colombia
195,"Greeicy, Mike Bahía",Amantes,3,135,60358,Colombia
196,"Anuel AA, Tego Calderón",Jangueo,39,5,60294,Colombia
197,"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),54,8,60281,Colombia
198,"Piso 21, Maluma",Me Llamas (feat. Maluma) - Remix,16,89,60276,Colombia
199,Andrés Calamaro,Flaca,151,109,60060,Colombia
200,The Police,Every Breath You Take,143,68,59538,Colombia
