rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
178,Travis Scott,SICKO MODE,40,10,130462,Chile
179,Maluma,ADMV,156,7,130066,Chile
180,"Anuel AA, Mariah Angeliq",Bandido,49,5,129336,Chile
181,"Aventura, Don Omar",Ella Y Yo - Featuring Don Omar,146,49,129129,Chile
182,Paulo Londra,Adan y Eva,1,87,128980,Chile
183,"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön",Cuaderno,6,60,128649,Chile
184,"Dalex, Sech, Justin Quiles",Perfume,59,17,128397,Chile
185,Camilo,El Mismo Aire,59,11,127885,Chile
186,"BENEE, Gus Dapperton",Supalonely,127,15,127686,Chile
187,Bad Bunny,Soliá,14,18,127171,Chile
188,"Sech, Darell",Otro Trago,1,63,127117,Chile
189,Roddy Ricch,The Box,62,24,126282,Chile
190,"Jay Wheeler, DJ Nelson, Brytiago",Sin Ti - Remix,98,3,125921,Chile
191,"Daddy Yankee, Wisin & Yandel",Si Supieras,6,53,125205,Chile
192,Queen,Another One Bites The Dust - Remastered 2011,49,49,124900,Chile
193,"Kiddtetoon, Diego Smith",Illuminati,193,1,124697,Chile
194,"ROSALÍA, Ozuna","Yo x Ti, Tu x Mi",9,42,124397,Chile
195,"Daddy Yankee, Snow",Con Calma,1,71,124341,Chile
196,Dua Lipa,Physical,60,19,124106,Chile
197,"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),69,8,124086,Chile
198,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Mariah Angeliq",Feel Me,182,2,123504,Chile
199,"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),199,1,123275,Chile
200,"Ñengo Flow, Anuel AA",Sur y Norte,63,7,123229,Chile
