rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
62,J Balvin,Azul,61,15,7940148,Global
63,"Feid, Justin Quiles",PORFA,56,13,7933302,Global
64,Juice WRLD,Lucid Dreams,3,112,7909248,Global
65,"6ix9ine, Nicki Minaj",TROLLZ (with Nicki Minaj),20,3,7828742,Global
66,"Regard, RAYE",Secrets,66,5,7761297,Global
67,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),38,34,7696354,Global
68,"Lil Baby, 42 Dugg",We Paid (feat. 42 Dugg),68,2,7694985,Global
69,Doja Cat,Boss Bitch,21,18,7680974,Global
70,"The Kid LAROI, Juice WRLD",GO (feat. Juice WRLD),60,3,7668876,Global
71,"Conkarah, Shaggy, DJ Fle",Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,71,3,7571777,Global
72,Camilo,Favorito,29,13,7567244,Global
73,Billie Eilish,everything i wanted,2,34,7539582,Global
74,"Billie Eilish, Khalid",lovely (with Khalid),24,115,7433259,Global
75,Lil Baby,The Bigger Picture,47,3,7367615,Global
76,Harry Nach,Tak Tiki Tak,76,4,7367064,Global
77,"S1mba, DTG",Rover (feat. DTG),77,7,7363347,Global
78,"Eminem, Juice WRLD",Godzilla (feat. Juice WRLD),4,24,7303448,Global
79,"Ed Sheeran & Justin Bieber, Justin Bieber",I Don't Care (with Justin Bieber),1,60,7051893,Global
80,"NLE Choppa, Roddy Ricch",Walk Em Down (feat. Roddy Ricch),50,15,6985893,Global
81,"Nea, Felix Jaehn",Some Say - Felix Jaehn Remix,81,3,6983487,Global
82,"Lady Gaga, Bradley Cooper",Shallow,3,92,6964477,Global
83,Dua Lipa,Physical,12,22,6892152,Global
84,blackbear,hot girl bummer,9,45,6798892,Global
85,"Chris Brown, Young Thug",Go Crazy,85,6,6702857,Global
86,"MEDUZA, Becky Hill, Goodboys",Lose Control,27,37,6668197,Global
87,"Jhayco, Bad Bunny",CÓMO SE SIENTE - Remix,63,8,6545230,Global
88,Imagine Dragons,Believer,16,178,6389031,Global
89,"Curtis Waters, Harm Franklin",Stunnin' (feat. Harm Franklin),89,2,6381818,Global
90,"Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),9,38,6328898,Global
91,Rauw Alejandro,Tattoo,42,19,6301893,Global
92,"Tyla Yaweh, Post Malone",Tommy Lee (feat. Post Malone),56,3,6240093,Global
93,Megan Thee Stallion,Savage,16,15,6177632,Global
94,J Balvin,Amarillo,26,15,6133764,Global
95,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,95,1,6128469,Global
96,XXXTENTACION,Jocelyn Flores,7,148,6094534,Global
97,DripReport,Skechers,31,16,6075973,Global
98,"Post Malone, 21 Savage",rockstar (feat. 21 Savage),1,146,6043179,Global
99,Juice WRLD,Righteous,10,10,5981775,Global
100,Ariana Grande,7 rings,1,76,5949298,Global
101,XXXTENTACION,SAD!,1,122,5921818,Global
102,"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),3,53,5872020,Global
103,Juice WRLD,Robbery,18,50,5832460,Global
104,"Aya Nakamura, Maluma",Djadja (feat. Maluma) - Remix,104,1,5791395,Global
105,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",China,2,50,5733681,Global
106,Sam Fischer,This City,105,11,5715486,Global
107,"Sleepy Hallow, Fousheé",Deep End Freestyle,72,7,5698488,Global
108,Bad Bunny,La Difícil,5,18,5673996,Global
109,Ed Sheeran,Shape of You,1,182,5662381,Global
110,"Mustard, Roddy Ricch",Ballin' (with Roddy Ricch),37,39,5627135,Global
111,Anuel AA,Reggaetonera,111,2,5609036,Global
112,Billie Eilish,when the party's over,9,89,5604657,Global
113,Queen,Bohemian Rhapsody - Remastered 2011,11,96,5584068,Global
114,J Balvin,Morado,33,25,5569313,Global
115,"Marshmello, Bastille",Happier,2,98,5563095,Global
116,Harry Styles,Falling,29,29,5558216,Global
117,"Justin Quiles, Daddy Yankee, El Alfa",PAM,117,7,5543332,Global
118,"Rauw Alejandro, Chencho Corleone",El Efecto,100,8,5519710,Global
119,"ZAAC, Anitta, Tyga",Desce Pro Play (PA PA PA),119,1,5518518,Global
120,Beyoncé,BLACK PARADE,90,2,5474807,Global
121,"Polo G, Juice WRLD",Flex (feat. Juice WRLD),79,7,5443862,Global
122,BTS,Stay Gold,72,2,5439000,Global
123,"Miksu / Macloud, Summer Cem, Luciano, Jamule",XXL,123,1,5415994,Global
124,James Arthur,Say You Won't Let Go,7,182,5413705,Global
125,Ed Sheeran,Perfect,4,173,5393960,Global
126,"JACKBOYS, Travis Scott, Young Thug",OUT WEST (feat. Young Thug),27,27,5372665,Global
127,"Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",5,39,5349928,Global
128,"Bad Bunny, Sech",Ignorantes,6,20,5327086,Global
129,Lil Tecca,Ransom,3,57,5299475,Global
130,"Gunna, Young Thug",DOLLAZ ON MY HEAD (feat. Young Thug),69,6,5298488,Global
131,Pop Smoke,Dior,118,16,5223126,Global
132,"Trevor Daniel, Selena Gomez",Past Life (with Selena Gomez),132,1,5191401,Global
133,"Kanye West, Travis Scott",Wash Us In The Blood,133,1,5097717,Global
134,"Roddy Ricch, Mustard",High Fashion (feat. Mustard),29,25,5053176,Global
135,Justin Bieber,Yummy,2,26,5051053,Global
136,Myke Towers,Diosa,49,20,5037376,Global
137,Halsey,Without Me,4,91,5006134,Global
138,Peach Tree Rascals,Mariposa,138,2,4982370,Global
139,"Lil Nas X, Billy Ray Cyrus",Old Town Road - Remix,2,65,4976725,Global
140,"Juice WRLD, YoungBoy Never Broke Again",Bandit (with YoungBoy Never Broke Again),14,39,4975173,Global
141,"Doja Cat, Gucci Mane",Like That,69,16,4937841,Global
142,"Alex Rose, Rafa Pabön",Jangueo,122,16,4924529,Global
143,XXXTENTACION,Moonlight,2,118,4893035,Global
144,Ava Max,Salt,70,14,4874960,Global
145,"Wallows, Clairo",Are You Bored Yet? (feat. Clairo),145,2,4850268,Global
146,"Post Malone, Young Thug",Goodbyes (feat. Young Thug),2,52,4846620,Global
147,Katy Perry,Daisies,52,7,4838067,Global
148,Bad Bunny,Si Veo a Tu Mamá,7,18,4827485,Global
149,Tame Impala,The Less I Know The Better,149,25,4816944,Global
150,"Y2K, bbno$",Lalala,4,54,4814201,Global
151,John Legend,All of Me,143,73,4801510,Global
152,5 Seconds of Summer,Youngblood,8,112,4801112,Global
153,DaBaby,BOP,23,40,4755598,Global
