rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
177,"Reik, Maluma",Amigos Con Derechos,4,96,68344,Peru
178,"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),51,8,68136,Peru
179,"Lady Gaga, BLACKPINK",Sour Candy (with BLACKPINK),52,4,67901,Peru
180,"Daddy Yankee, Snow",Con Calma,1,75,67879,Peru
181,"CNCO, NATTI NATASHA",Honey Boo,106,11,67878,Peru
182,You Salsa,No Te Contaron Mal,47,62,67445,Peru
183,"ChiChi Peralta, Jandy Feliz",Procura,127,50,67407,Peru
184,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",Perreo en La Luna,28,35,67318,Peru
185,"Lasso, Danna Paola",Subtítulos,54,35,67297,Peru
186,"Morat, Juanes",Besos En Guerra,76,118,67004,Peru
187,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",Porno,130,28,66844,Peru
188,Trevor Daniel,Falling,84,27,66128,Peru
189,"Reik, Manuel Turizo",Aleluya,55,57,65634,Peru
190,"Nio Garcia, Rauw Alejandro, Lenny Tavárez, Myke Towers, Casper Magico, Darell",Mírame - Remix,88,48,65612,Peru
191,"Anuel AA, KAROL G",Secreto,1,77,65345,Peru
192,Lewis Capaldi,Someone You Loved,132,14,65293,Peru
193,Sebastian Yatra,No Hay Nadie Más,17,127,65002,Peru
194,"Sebastian Yatra, Ricky Martin",Falta Amor,134,13,64835,Peru
195,Maroon 5,Memories,117,29,64561,Peru
196,Reik,Ya Me Enteré,77,56,64207,Peru
197,"TINI, Lalo Ebratt",Fresa,20,42,64142,Peru
198,"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),198,1,63878,Peru
199,Nicki Nicole,Colocao,199,1,63807,Peru
200,"Dalex, Lenny Tavárez",Bellaquita,21,43,63639,Peru
